ID,LabVisit,file,start1,stop1,start2,stop2,start3,stop3,start4,stop4,start5,stop5,start6,stop6,start7,stop7,start8,stop8,start9,stop9,start10,stop10
1000,1,1000_V1R3XP_4,3:32:18 PM,3:33:40 PM,3:35:50 PM,3:37:49 PM,3:37:49 PM,3:39:46 PM,3:41:36 PM,3:44:04 PM,3:44:40 PM,3:48:53 PM,3:53:33 PM,3:55:33 PM,3:48:53 PM,3:50:53 PM,4:01:49 PM,4:03:10 PM,4:07:20 PM,4:09:19 PM,4:13:19 PM,4:15:26 PM
1001,1,1001_V1R3XP_4,1:18:03 PM,1:19:46 PM,1:23:01 PM,1:25:01 PM,1:25:01 PM,1:27:01 PM,1:28:36 PM,1:30:51 PM,1:31:21 PM,1:35:04 PM,1:39:03 PM,1:41:04 PM,1:35:04 PM,1:37:02 PM,1:46:05 PM,1:47:27 PM,2:07:42 PM,2:09:34 PM,2:10:36 PM,2:12:42 PM
1002,1,1002_V1R3XP_4,3:29:52 PM,3:31:57 PM,3:35:51 PM,3:37:53 PM,3:37:53 PM,3:39:58 PM,3:41:59 PM,3:44:05 PM,3:44:42 PM,3:48:51 PM,3:48:51 PM,3:50:51 PM,3:53:33 PM,3:55:56 PM,4:00:21 PM,4:01:32 PM,4:04:21 PM,4:06:26 PM,4:09:49 PM,4:11:59 PM
1003,1,1003_V1R3XP_4,1:16:24 PM,1:17:22 PM,1:22:53 PM,1:24:53 PM,1:24:53 PM,1:26:53 PM,1:28:38 PM,1:30:53 PM,1:31:22 PM,1:35:00 PM,1:35:00 PM,1:37:05 PM,1:38:45 PM,1:41:12 PM,1:44:22 PM,1:45:50 PM,2:01:33 PM,2:03:36 PM,2:04:38 PM,2:06:43 PM
1004,1,1004_V1R3XP_4,5:37:08 PM,5:38:02 PM,5:39:25 PM,5:41:27 PM,5:41:27 PM,5:43:34 PM,5:45:07 PM,5:47:07 PM,5:47:37 PM,5:50:36 PM,5:50:36 PM,5:52:36 PM,5:55:06 PM,5:57:13 PM,5:59:57 PM,6:01:29 PM,6:02:53 PM,6:04:53 PM,6:05:20 PM,6:07:20 PM
1005,1,1005_V1R3XP_4,3:15:37 PM,3:16:27 PM,3:18:10 PM,3:20:12 PM,3:20:12 PM,3:22:15 PM,3:24:53 PM,3:26:54 PM,3:27:22 PM,3:30:11 PM,3:34:50 PM,3:36:53 PM,3:30:11 PM,3:32:43 PM,3:42:43 PM,3:44:13 PM,3:51:47 PM,3:53:44 PM,3:54:27 PM,3:56:30 PM
1006,1,1006_V1R3XP_4,4:14:10 PM,4:14:50 PM,4:16:43 PM,4:18:43 PM,4:18:43 PM,4:20:42 PM,4:23:10 PM,4:25:10 PM,4:25:40 PM,4:29:34 PM,4:33:47 PM,4:35:45 PM,4:29:34 PM,4:31:53 PM,4:39:04 PM,4:40:35 PM,4:43:40 PM,4:45:42 PM,4:46:53 PM,4:48:55 PM
1007,1,1007_V1R3XP_4,3:33:35 PM,3:34:50 PM,3:36:51 PM,3:38:51 PM,3:38:51 PM,3:41:51 PM,3:42:35 PM,3:44:35 PM,3:45:07 PM,3:48:04 PM,3:48:04 PM,3:50:04 PM,3:51:51 PM,3:54:02 PM,3:57:20 PM,3:58:20 PM,3:59:20 PM,4:01:20 PM,4:01:50 PM,4:03:50 PM
1008,1,1008_V1R3XP_4,1:07:10 PM,1:08:11 PM,1:09:49 PM,1:11:49 PM,1:11:49 PM,1:13:49 PM,1:15:21 PM,1:17:21 PM,1:17:51 PM,1:20:12 PM,1:20:12 PM,1:22:12 PM,1:23:53 PM,1:26:06 PM,1:28:59 PM,1:30:21 PM,1:37:07 PM,1:39:08 PM,1:39:41 PM,1:41:43 PM
1009,1,1009_V1R3XP_4,3:13:52 PM,3:14:27 PM,3:18:11 PM,3:20:11 PM,3:20:11 PM,3:21:56 PM,3:24:53 PM,3:26:52 PM,3:27:23 PM,3:30:37 PM,3:30:37 PM,3:32:37 PM,3:34:54 PM,3:37:05 PM,3:41:03 PM,3:42:14 PM,3:51:38 PM,3:53:42 PM,3:54:26 PM,3:56:29 PM
1010,1,1010_V1R3XP_4,4:12:26 PM,4:13:24 PM,4:16:40 PM,4:18:42 PM,4:18:42 PM,4:20:42 PM,4:22:58 PM,4:25:08 PM,4:25:38 PM,4:29:34 PM,4:29:34 PM,4:31:32 PM,4:33:52 PM,4:36:04 PM,4:40:47 PM,4:42:18 PM,4:43:42 PM,4:45:40 PM,4:46:52 PM,4:48:57 PM
1011,1,1011_V1R3XP_4,3:12:54 PM,3:14:16 PM,3:16:50 PM,3:18:49 PM,3:18:49 PM,3:20:49 PM,3:23:00 PM,3:25:00 PM,3:25:26 PM,3:28:24 PM,3:32:30 PM,3:34:29 PM,3:28:24 PM,3:30:24 PM,3:38:38 PM,3:39:50 PM,3:42:50 PM,3:44:50 PM,3:45:33 PM,3:47:34 PM
1012,1,1012_V1R3XP_4,12:04:50 PM,12:06:14 PM,12:09:04 PM,12:11:04 PM,12:11:04 PM,12:13:03 PM,12:15:30 PM,12:17:30 PM,12:18:01 PM,12:26:40 PM,12:31:41 PM,12:33:37 PM,12:26:40 PM,12:28:48 PM,12:43:24 PM,12:44:38 PM,12:50:27 PM,12:52:27 PM,12:53:03 PM,12:55:05 PM
1013,1,1013_V1R3XP_4,4:42:33 PM,4:44:23 PM,4:46:04 PM,4:48:08 PM,4:48:08 PM,4:51:14 PM,4:52:10 PM,4:54:12 PM,4:54:40 PM,4:57:35 PM,5:00:10 PM,5:02:07 PM,4:57:35 PM,4:59:39 PM,5:09:45 PM,5:11:11 PM,5:12:32 PM,5:14:38 PM,5:15:00 PM,5:17:08 PM
1014,1,1014_V1R3XP_4,3:11:29 PM,3:12:25 PM,3:16:44 PM,3:18:48 PM,3:18:48 PM,3:20:52 PM,3:22:58 PM,3:24:59 PM,3:25:29 PM,3:28:28 PM,3:28:28 PM,3:30:39 PM,3:32:27 PM,3:34:30 PM,3:40:23 PM,3:41:48 PM,3:42:58 PM,3:44:58 PM,3:45:24 PM,3:47:33 PM
1015,1,1015_V1R3XP_4,12:02:29 PM,12:04:11 PM,12:09:00 PM,12:11:02 PM,12:11:02 PM,12:13:00 PM,12:15:21 PM,12:17:19 PM,12:17:54 PM,12:26:45 PM,12:26:45 PM,12:28:45 PM,12:31:40 PM,12:33:47 PM,12:40:52 PM,12:42:08 PM,12:50:25 PM,12:52:26 PM,12:52:59 PM,12:55:02 PM
1016,1,1016_V1R3XP_4,4:41:15 PM,4:42:25 PM,4:46:05 PM,4:48:07 PM,4:48:07 PM,4:50:04 PM,4:52:10 PM,4:54:11 PM,4:54:40 PM,4:57:35 PM,4:57:35 PM,4:59:41 PM,5:00:05 PM,5:02:09 PM,5:08:00 PM,5:09:52 PM,5:12:31 PM,5:14:31 PM,5:15:07 PM,5:17:06 PM
1017,1,1017_V1R3XP_4,4:14:00 PM,4:14:50 PM,4:16:49 PM,4:18:53 PM,4:18:53 PM,4:21:09 PM,4:22:41 PM,4:24:43 PM,4:25:25 PM,4:28:40 PM,4:33:04 PM,4:35:02 PM,4:28:40 PM,4:30:46 PM,4:39:53 PM,4:41:16 PM,4:42:16 PM,4:44:16 PM,4:44:50 PM,4:46:56 PM
